STATE,CITY,AREA,CRAWL DATE, HOTEL RATING,SPECIAL ADDED VALUE,HOTELS LOCATION RATING,EXCELLENT EXPERIENCE REPORTED BY VISITORS,AVERAGE EXPERIENCE REPORTED BY VISITOR,POOR EXPERIENCE REPORTED BY VISITORS,TERRIBLE EXPERIENCE REPROTED BY VISITOR,PROPERTY TYPE,QUERY DATE,QUERY TIME,RATING BASED ON VALUE FOR MONEY,RATING BASED ON FOOD,APPROVAL RATING
Madhya Pradesh,Bhopal,MP Nagar,22-08-2016,1,no,3.4,5,2,1,1,Hotel,22-08-2016,10.10.53 PM,4.1,0,53
Himachal Pradesh,Dalhousie,Court Road,22-08-2016,1,no,3.7,4,6,3,4,Hotel,22-08-2016,10.10.53 PM,3.4,3.2,55.5
New Delhi,New Delhi And NCR,Mahipalpur,22-08-2016,5,no,4.9,48,5,1,0,Hotel,22-08-2016,10.10.53 PM,4.6,0.5,72.125
Tamilnadu,Chennai,Koyambedu,22-08-2016,2,no,3.7,0,0,1,1,Hotel,22-08-2016,10.10.53 PM,2.3,0,41.5
Tamil Nadu,Pondicherry,Rangapillai Street,22-08-2016,0,no,4.4,7,28,24,8,Guest House,22-08-2016,10.10.53 PM,3.1,2.1,54.125
West Bengal,Darjeeling,Hill Cart Road,22-08-2016,2,no,2.5,0,1,0,1,Hotel,22-08-2016,10.10.53 PM,2,0.5,38.125
West Bengal,Darjeeling,Gandhi Road,22-08-2016,1,no,4,13,0,3,6,Hotel,22-08-2016,10.10.53 PM,3.9,3.3,62.125
Karnataka,Bangalore,Majestic,22-08-2016,2,yes,4.2,104,27,12,7,Hotel,22-08-2016,10.10.53 PM,4.3,2.8,67
Odisha,Bhubaneshwar,Nayapalli,22-08-2016,2,yes,5,2,0,0,0,Hotel,22-08-2016,10.10.53 PM,5,0,62.5
Kerala,Allepey,Punnamada,22-08-2016,5,no,4.5,4,1,1,2,Hotel,22-08-2016,10.10.53 PM,3.4,3.2,63
Himachal Pradesh,Dharamshala,Naddi,22-08-2016,2,no,5,2,1,0,0,Hotel,22-08-2016,10.10.53 PM,4.3,3,75.25
Himachal Pradesh,Dharamshala,Mcleodganj,22-08-2016,1,no,5,1,0,0,0,Hotel,22-08-2016,10.10.53 PM,5,3,78.75
West Bengal,Darjeeling,Mall Road,22-08-2016,2,yes,4.1,29,29,13,7,Hotel,22-08-2016,10.10.53 PM,3.9,2.5,60.625
Rajasthan,Ajmer,Vaishali Nagar,22-08-2016,3,no,4.6,23,3,4,0,Hotel,22-08-2016,10.10.53 PM,4.4,3.6,72.5
West Bengal,Dooars,Chalsa,22-08-2016,3,no,5,7,0,0,0,Hotel,22-08-2016,10.10.53 PM,4.8,3.4,78.25
Uttaranchal,Dehradun,Neshvilla Road,22-08-2016,2,no,3.9,3,1,2,1,Hotel,22-08-2016,10.10.53 PM,3.2,2.6,56.75
Telangana,Hyderabad,Somajiguda,04-07-2016,5,no,4.6,157,54,34,5,Hotel,04-07-2016,3.37.10 PM,4,3.1,66.875
Kerala,Allepey,Beach Road,19-07-2016,3,no,4.5,34,19,5,2,Hotel,19-07-2016,6.57.49 AM,4,3.6,68
Punjab,Amritsar,Golden Temple,12-07-2016,3,no,4.4,1,3,4,0,Hotel,12-07-2016,12.18.48 AM,3.3,3,58.25
Uttaranchal,Nainital,Nainital,04-07-2016,2,no,3.2,21,50,34,38,Hotel,04-07-2016,3.26.23 PM,3.3,1.7,49.125
Karnataka,Bangalore,Central Bangalore,04-07-2016,3,no,5,4,2,0,0,Hotel,04-07-2016,3.26.23 PM,4.3,2.9,72.125
Gujarat,Vadodara,Dumad,25-07-2016,4,no,4.4,4,2,4,0,Hotel,25-07-2016,4.01.11 PM,3.8,3.1,63.875
Karnataka,Manipal,Upendra Nagar,25-07-2016,3,no,4.9,48,3,0,0,Hotel,25-07-2016,4.01.11 PM,4.7,3,75.75
kerala,Thrissur,Cheruthuruthy,25-07-2016,4,no,4,1,0,0,0,Hotel,25-07-2016,4.01.11 PM,5,0,70
Uttar Pradesh,Varanasi,Chetganj,25-07-2016,3,no,3.9,3,12,7,0,Hotel,25-07-2016,4.01.11 PM,3.3,1,54.25
Rajasthan,Udaipur,City Center,25-07-2016,1,no,4.4,3,2,0,0,Hotel,25-07-2016,4.01.11 PM,4.4,0.8,67
Tamil Nadu,Vailankanni,Velankanni Basilica,25-07-2016,1,no,4.4,26,6,5,0,Hotel,25-07-2016,4.01.11 PM,4.2,3.6,69
Gujarat,Vadodara,Fatehgunj Camp road,25-07-2016,3,no,4.5,23,5,4,2,Hotel,25-07-2016,4.01.11 PM,4.4,3.2,70.5
Rajesthan,Udaipur,Shastri Circle,25-07-2016,3,no,4.4,26,2,0,0,Hotel,25-07-2016,4.01.11 PM,4.8,3.7,74.625
Uttar Pradesh,Varanasi,Varanasi Railway Station,25-07-2016,4,no,4.4,6,10,7,0,Hotel,25-07-2016,4.01.11 PM,3.4,2.3,60.875
Raj,Udaipur,Hiran Magri,25-07-2016,1,no,4.4,3,0,2,0,Hotel,25-07-2016,4.01.11 PM,3.8,1.6,64
Rajasthan,Udaipur,Gangour Ghat Marg,25-07-2016,2,no,4.6,18,3,0,2,Hotel,25-07-2016,4.01.11 PM,4.6,3.9,72.875
Kerala,Vagamon,Vagamon,25-07-2016,1,no,4.7,2,0,0,0,Hotel,25-07-2016,4.01.11 PM,4.7,3.3,72.625
Rajsthan,Udaipur,Paras Cinema,25-07-2016,2,no,4.5,2,1,1,0,Hotel,25-07-2016,4.01.11 PM,4,1.8,65.75
Andhra Pradesh,Tirupati,Tirupati APSRTC Central Bus Station,25-07-2016,3,no,3.3,1,6,13,13,Hotel,25-07-2016,4.01.11 PM,2.4,1.4,41.75
Rajasthan,Udaipur,Gulab Bagh,25-07-2016,2,no,4.5,19,12,9,0,Hotel,25-07-2016,4.01.11 PM,4,3.2,66
Rajasthan,Udaipur,Debari,25-07-2016,3,no,3.8,1,0,1,0,Hotel,25-07-2016,4.01.11 PM,3.5,4.5,64.625
Rajasthan,Udaipur,Udaipole,25-07-2016,2,no,3.2,0,1,2,3,Hotel,25-07-2016,4.01.11 PM,1.7,1.5,37.375
Rajasthan,Udaipur,Haridasji Ki Magri,25-07-2016,3,no,4,2,1,0,0,Hotel,25-07-2016,4.01.11 PM,4.8,4.8,74
Rajasthan,Udaipur,City Palace,25-07-2016,2,no,4.4,2,1,1,0,Hotel,25-07-2016,4.01.11 PM,3.6,3.6,66.5
Andhra Pradesh,Tirupati,Tirupati Railway Station,25-07-2016,3,yes,4.4,114,22,5,2,Hotel,25-07-2016,4.01.11 PM,4.6,2.7,71.875
Rajasthan,Udaipur,Fateh Sagar Lake,25-07-2016,2,no,4,4,1,1,1,Hotel,25-07-2016,4.01.11 PM,4.1,3,63.75
Gujarat,Vadodara,Sayajigunj,25-07-2016,3,no,4.8,16,7,3,1,Hotel,25-07-2016,4.01.11 PM,3.9,3.1,68.375
Tamil Nadu,Tirupur,Kangayam Road,25-07-2016,3,no,3.9,15,16,6,4,Hotel,25-07-2016,4.01.11 PM,3.8,2.2,61.75
madhya pradesh,Ujjain,Subhash Marg,25-07-2016,1,no,4.5,0,0,1,0,Hotel,25-07-2016,4.01.11 PM,2.5,0,50
Tamil Nadu,Tiruchirapally,Williams Rd,25-07-2016,3,no,4.7,70,18,3,3,Hotel,25-07-2016,4.01.11 PM,4.3,2.8,70
Gujarat,Vadodara,R C Dutt Rd,25-07-2016,4,no,4.6,24,8,5,2,Hotel,25-07-2016,4.01.11 PM,4.1,2.8,68
Andhra Pradesh,Tirupati,Tirupati APSRTC Bus Stand,25-07-2016,1,no,4.2,13,27,12,9,Hotel,25-07-2016,4.01.11 PM,3.5,2,57
Rajasthan,Udaipur,Mulla Talai,25-07-2016,5,no,4.7,47,4,1,0,Hotel,25-07-2016,4.01.11 PM,4.7,3,74.75
Maharastra,Mahabaleshwar,Panchgani,11-07-2016,4,no,4,1,1,1,0,Hotel,11-07-2016,3.40.36 PM,3.5,2,61
Uttaranchal,Nainital,Bhimtal,11-07-2016,2,no,4.8,0,1,2,0,Hotel,11-07-2016,3.40.36 PM,2.8,2,59.5
Maharashtra,Nasik,Satpur,11-07-2016,3,no,4.4,140,50,13,3,Hotel,11-07-2016,3.40.36 PM,4.4,2.9,69.125
Maharashtra,Kolhapur,Tararani Chowk,11-07-2016,1,no,4.5,14,6,5,1,Hotel,11-07-2016,3.40.36 PM,4,3,64.75
Himachal Pradesh,Parwanoo,Parwanoo,11-07-2016,5,no,4.8,10,5,1,0,Hotel,11-07-2016,3.40.36 PM,4.4,3.1,70.875
J and K,Pahalgam,Laripura,11-07-2016,2,no,3.3,10,13,5,3,Hotel,11-07-2016,3.40.36 PM,3.7,3.2,57
Uttrakhand,Nainital,Kathgodam,11-07-2016,4,no,3.5,0,1,0,1,Hotel,11-07-2016,3.40.36 PM,2.5,0,42.5
Maharashtra,Mahabaleshwar,Central Mahabaleshwar,11-07-2016,1,no,3.9,18,8,10,3,Hotel,11-07-2016,3.40.36 PM,3.9,2.1,63.625
Jammu and Kashmir,Pahalgam,Chandanwari Road,11-07-2016,1,no,3.1,3,1,2,2,Hotel,11-07-2016,3.40.36 PM,3.3,3.9,53.375
Maharashtra,Nasik,Pathardi Phata,11-07-2016,4,no,4.6,84,12,5,1,Hotel,11-07-2016,3.40.36 PM,4.4,3.6,71.5
Uttrakhand,Nainital,Sattal,11-07-2016,4,no,4.2,17,3,2,0,Hotel,11-07-2016,3.40.36 PM,4.4,2.5,66.625
Uttarakhand,Nainital,Ramgarh,11-07-2016,3,no,4,2,0,0,0,Hotel,11-07-2016,3.40.36 PM,4.7,4.7,72.875
Rajasthan,Nawalgarh,Nawalgarh,11-07-2016,3,no,5,2,0,0,0,Hotel,11-07-2016,3.40.36 PM,5,5,81.25
Uttarakhand,Nainital,Mall Road Nanital,11-07-2016,1,no,4.2,2,8,5,3,Hotel,11-07-2016,3.40.36 PM,3.2,2.5,55.625
Uttarakhand,Nainital,Mallital,11-07-2016,5,no,3.6,6,3,2,1,Hotel,11-07-2016,3.40.36 PM,4,3.1,61.375
Tamilnadu,Palani,Adivaram,11-07-2016,1,no,4.6,20,6,1,0,Hotel,11-07-2016,3.40.36 PM,4.5,2.5,70.625
Bihar,Patna,Patliputra Kurji Road,11-07-2016,4,no,3.9,11,5,8,4,Hotel,11-07-2016,3.40.36 PM,3.5,2,56
Uttarakhand,Nainital,Bhimtal,11-07-2016,3,no,5,2,0,0,0,Hotel,11-07-2016,3.40.36 PM,5,2,77.5
Tamil Nadu,Namakkal,Bus Station,11-07-2016,1,no,4.9,18,3,0,0,Hotel,11-07-2016,3.40.36 PM,4.6,3.4,72.75
Punjab,Patiala,Rajbaha Road,11-07-2016,1,no,4.8,7,1,0,0,Hotel,11-07-2016,3.40.36 PM,4.6,3.5,72.375
Maharastra,Mahabaleshwar,Mahabaleshwar Panchgani Road,11-07-2016,1,no,2.9,0,0,6,7,Hotel,11-07-2016,3.40.36 PM,2,1.5,35.875
Jammu and Kashmir,Pahalgam,Aru Road,11-07-2016,1,no,4.7,18,2,2,1,Hotel,11-07-2016,3.40.36 PM,4.5,2.6,68.75
Uttaranchal,Nainital,Mukteshwar,11-07-2016,2,no,5,0,1,0,0,Hotel,11-07-2016,3.40.36 PM,5,1,66.25
Andhra Pradesh,Nellore,Trunk Road,11-07-2016,4,no,4.8,10,3,1,0,Hotel,11-07-2016,3.40.36 PM,4.4,1.4,66.75
Rajasthan,Nathdwara,Bus Stand,11-07-2016,2,no,4.3,26,5,2,0,Hotel,11-07-2016,3.40.36 PM,4.6,4.5,72.125
Uttrakhand,Nainital,Mukteshwar,11-07-2016,1,no,5,1,0,0,0,Hotel,11-07-2016,3.40.36 PM,5,5,76.25
Uttarakhand,Nainital,Mallital,11-07-2016,3,no,3.9,3,3,2,1,Hotel,11-07-2016,3.40.36 PM,3.9,3.3,60.625
Bihar,Patna,Exhibition Road,11-07-2016,4,no,4.2,17,9,7,1,Hotel,11-07-2016,3.40.36 PM,4,2.7,64.875
J and K,Pahalgam,Chandanwari Road,11-07-2016,2,no,4,7,12,7,3,Hotel,11-07-2016,3.40.36 PM,3.8,3,56.25
Rajasthan,Churu,Churu,22-08-2016,3,no,4,1,0,0,0,Hotel,22-08-2016,10.14.56 PM,5,5,76.25
Andhra Pradesh,Hyderabad,Jubilee Hills,22-08-2016,3,no,4.1,1,2,2,1,Hotel,22-08-2016,10.14.56 PM,2.6,3.6,53.5
Rajasthan,Jaisalmer,Geeta Ashram,22-08-2016,3,no,5,9,0,0,0,Hotel,22-08-2016,10.14.56 PM,5,3.3,78.625
West Bengal,Darjeeling,Ghoom Monastery,22-08-2016,4,no,4.1,32,10,10,4,Hotel,22-08-2016,10.14.56 PM,4.1,1.4,63.25
Rajasthan,Jaisalmer,Sam Road,22-08-2016,0,no,3.8,1,4,0,0,Camp,22-08-2016,10.14.56 PM,4,3.8,62.75
Karnataka,Coorg,Madikeri,22-08-2016,2,no,4.5,1,1,0,0,Hotel,22-08-2016,10.14.56 PM,4.5,4,74
Sikkim,Gangtok,Near MG Marg,22-08-2016,2,yes,4.5,4,2,4,0,Hotel,22-08-2016,10.14.56 PM,3.8,2.5,63.125
Andhra Pradesh,Hyderabad,Shameerpet Ranga Reddy District,22-08-2016,5,no,4.6,36,7,2,1,Hotel,22-08-2016,10.14.56 PM,4.4,2.3,68.375
Uttarakhand,Haridwar,"Shri Chandra Charya Chowk ,Ranipur More",03-07-2016,1,no,4.2,10,6,1,1,Hotel,03-07-2016,4.04.56 AM,4.2,3.4,66.25
Assam,Guwahati,Paltan Bazar,03-07-2016,3,no,4.3,4,12,14,5,Hotel,03-07-2016,4.04.56 AM,3.4,2.6,58.75
Gujrat,Gandhidham,D.C.,03-07-2016,3,no,2,0,0,0,1,Hotel,03-07-2016,4.04.56 AM,2,0,30
Sikkim,Gangtok,Kazi Road,03-07-2016,3,no,4.3,68,29,13,5,Hotel,03-07-2016,4.04.56 AM,4.2,3.7,68.125
Sikkim,Gangtok,Near MG Marg,03-07-2016,3,no,4.1,1,5,2,0,Hotel,03-07-2016,4.04.56 AM,3.8,2.5,61.125
Sikkim,Gangtok,Palzor Stadium Road,03-07-2016,2,no,4.2,4,0,1,1,Hotel,03-07-2016,4.04.56 AM,4.2,3.4,67.25
Uttar Pradesh,Haridwar,Haridwar Rishikesh Highway,03-07-2016,3,no,4,0,1,1,0,Hotel,03-07-2016,4.04.56 AM,3.5,3.2,60.5
Assam,Guwahati,Paltan Bazar,03-07-2016,3,yes,4.3,38,49,15,4,Hotel,03-07-2016,4.04.56 AM,3.8,2.4,63
Sikkim,Gangtok,Central Gangtok,03-07-2016,1,no,4.9,3,1,2,0,Hotel,03-07-2016,4.04.56 AM,4,2.3,66.875
Uttarakhand,Haridwar,Sharvannath Nagar,03-07-2016,2,no,2.9,0,4,1,2,Hotel,03-07-2016,4.04.56 AM,2.4,0.3,38.875
Madhya Pradesh,Gwalior,Lashkar,03-07-2016,1,no,3.7,7,6,4,2,Hotel,03-07-2016,4.04.56 AM,4.1,2.9,61.125
Sikkim,Gangtok,Near Tashi View Point,03-07-2016,3,yes,3.6,36,21,4,3,Hotel,03-07-2016,4.04.56 AM,4.4,3.7,65.625
ASSAM,Guwahati,M G Road,03-07-2016,1,no,4.9,10,2,2,1,Hotel,03-07-2016,4.04.56 AM,4.1,3.4,69.75
Assam,Guwahati,G S Road,03-07-2016,3,no,5,2,1,0,0,Hotel,03-07-2016,4.04.56 AM,3.8,2.8,70.5
Uttrakhand,Haridwar,Sarvan Nath Nagar,03-07-2016,3,no,4.8,10,0,0,0,Hotel,03-07-2016,4.04.56 AM,4.8,2.7,75.375
Assam,Guwahati,Six Mile,03-07-2016,3,no,2.8,1,1,1,0,Hotel,03-07-2016,4.04.56 AM,3.8,2.5,52.125
Madhya Pradesh,Gwalior,malan pur,03-07-2016,3,no,4.2,11,3,3,1,Hotel,03-07-2016,4.04.56 AM,4.1,4.2,66.75
Assam,Guwahati,A T Road,03-07-2016,3,no,3.7,1,1,0,0,Hotel,03-07-2016,4.04.56 AM,4.3,4.7,62.375
Uttaranchal,Haridwar,Haridwar Railway Station,03-07-2016,2,no,4.6,7,8,8,1,Hotel,03-07-2016,4.04.56 AM,3.2,1.6,57.5
Assam,Guwahati,Paltan Bazar,03-07-2016,2,yes,4.6,7,7,2,0,Hotel,03-07-2016,4.04.56 AM,3.9,2.4,65.5
Uttaranchal,Haridwar,Haridwar Railway Station,03-07-2016,3,no,4.1,7,13,9,2,Hotel,03-07-2016,4.04.56 AM,3.6,2.7,59.875
Rajasthan,Alwar,Railway Station,26-06-2016,2,no,4.3,1,1,1,0,Hotel,26-06-2016,6.19.26 AM,3.3,2,57
Kerala,Allepey,Pallathuruthy,26-06-2016,2,no,3.9,3,8,0,2,Hotel,26-06-2016,6.19.26 AM,3.8,3,60.75
Andaman,Port Blair,Wandoor,26-06-2016,3,no,3.6,7,1,0,1,Hotel,26-06-2016,6.19.26 AM,4.5,3.7,64.625
Punjab,Amritsar,Mall Road,26-06-2016,3,no,4.2,2,0,1,1,Hotel,26-06-2016,6.19.26 AM,3.5,2.2,52.25
Kerala,Allepey,Punnamada,26-06-2016,5,no,4.8,75,11,3,0,Hotel,26-06-2016,6.19.26 AM,4.6,2.7,64.875
Maharashtra,Alibagh,Chondhi Road,26-06-2016,3,no,4.3,18,15,8,0,Hotel,26-06-2016,6.19.26 AM,3.8,3,62.25
Punjab,Amritsar,Golden Temple,26-06-2016,3,no,4.3,1,3,3,0,Hotel,26-06-2016,6.19.26 AM,3.4,3.8,59.25
Punjab,Amritsar,Golden Temple,26-06-2016,2,yes,3.8,5,2,4,3,Hotel,26-06-2016,6.19.26 AM,3.6,3,57.25
kerala,Allepey,Punnamada,26-06-2016,3,no,3.8,16,32,21,17,Houseboat,26-06-2016,6.19.26 AM,3.6,3.5,55.875
Andaman & Nicobar,Port Blair,Marine Hills,26-06-2016,4,no,5,6,0,0,0,Hotel,26-06-2016,6.19.26 AM,4.8,3.4,71.25
Maharashtra,Alibagh,Kihim Beach Junction,26-06-2016,1,no,3.8,24,23,7,5,Hotel,26-06-2016,6.19.26 AM,4,3,59.75
Uttaranchal,Auli,Auli Skiing Village,26-06-2016,3,no,4.8,0,4,3,0,Hotel,26-06-2016,6.19.26 AM,3.1,2.9,59.125
Uttarakhand,Almora,Binsar Road,26-06-2016,2,no,5,5,0,0,0,Hotel,26-06-2016,6.19.26 AM,4.8,4,74
Uttar Pradesh,Allahabad,Civil Lines,26-06-2016,2,no,4.6,9,1,2,0,Hotel,26-06-2016,6.19.26 AM,4.2,2.2,59.75
Gujarat,Anand,Station Road,26-06-2016,3,no,4.8,11,2,0,0,Hotel,26-06-2016,6.19.26 AM,4.8,2.8,67.5
Andaman & Nicobar,Port Blair,Marine Hills,26-06-2016,3,no,3.9,6,1,2,3,Hotel,26-06-2016,6.19.26 AM,3.8,3.3,61.125
Maharastra,Aurangabad,Aurangabad,26-06-2016,3,no,4.3,35,38,27,4,Hotel,26-06-2016,6.19.26 AM,3.7,3.8,61.75
Kerala,Allepey,YMCA Road,26-06-2016,1,no,4,11,9,4,1,Homestay,26-06-2016,6.19.26 AM,4.3,2.7,64.375
Punjab,Amritsar,Albert Road,26-06-2016,2,yes,4.5,1,1,0,0,Hotel,26-06-2016,6.19.26 AM,4,1.5,51.875
Kerala,Allepey,Punnamada,26-06-2016,3,no,4,3,5,6,1,Hotel,26-06-2016,6.19.26 AM,3.8,3.7,60.625
Punjab,Amritsar,Amritsar Bus Stand,26-06-2016,2,no,4.1,17,4,5,5,Hotel,26-06-2016,6.19.26 AM,3.9,3.2,61.5
Punjab,Amritsar,Queens Road,26-06-2016,2,no,4.5,29,8,3,3,Hotel,26-06-2016,6.19.26 AM,4.3,4,68.5
Jammu and Kashmir,Katra,Katra Bus Stand,28-08-2016,2,no,4,2,8,7,5,Hotel,28-08-2016,5.23.50 AM,3,1.7,50.125
Uttarakhand,Kausani,Kausani Estate,28-08-2016,3,no,4.6,1,1,2,2,Hotel,28-08-2016,5.23.50 AM,3.4,2.2,57.75
Himachal Pradesh,Kasauli,Kimmughat,28-08-2016,2,no,4.1,35,12,9,3,Hotel,28-08-2016,5.23.50 AM,4.1,3.5,64.875
